Aditya Hospitals,Hyderabad,4.1.16; Adjacent Endowments Tilak Road Abids Hyderabad - 500001 Dist: Hyderabad State: Telangana,500001,Dr. Yadaiah T Goud - Chairman,STD(040) Tel: 24752988 24754153 Fax: 66785408 24754117,Common Network
Apollo D R D O Hospital,Hyderabad,DMRL X Road Near Santosh Nagar Kanchanbagh Hyderabad - 500058 Dist: Hyderabad State: Telangana,500058,Dr. Prem Kishore -,STD(040) Tel: 24342255 24342222 Fax: 24342255,Common Network
Apollo Hospitals (Jubilee Hills),Hyderabad,Road No.34; MLA Colony; Jubilee Hills; Hyderabad - 500033; Dist:Hyderabad; State: Telangana,500033,Dr. Hari Prasad - CEO,STD(040) Tel: 23607777 Fax: 23608050,Common Network
Aravind Eye Hospital,Hyderabad,12-2-824; opp. St. Anns Womens college Santosh Nagar colony Mehdipatnam Hyderabad - 500028 Dist: Hyderabad State: Telangana,500028,Dr. Subhash Chandra Bose - Director,STD(040) Tel: 23513743 Fax: 23519421,Common Network
Archana Multi Speciality Hospital,Hyderabad,#5-136 Chanda Nagar Hyderabad Hyderabad - 500050 Dist: Hyderabad State: Telangana,500050,Dr. Chenna P Reddy - Managing Director,STD(040) Tel: 23033304 Fax: 23033807 ,Common Network
Aware Global Hospitals,Hyderabad,Sowbhagya Nagar Sagar Road lingojiguda Hyderabad - 500035 Dist: Hyderabad State: Telangana,500035,Dr. M Veera Prasad - CEO,STD(040) Tel: 24111111 24030444 Fax: 24032366,Common Network
Bapuji Maternity And Nursing Home,Hyderabad,#7-44; Bapuji nagar; Nacharam; Hyderabad - 500076; Dist: Rangareddi; State: Telangana,500076,Sridhar Talla - Manager,STD (040) Tel: 27175567 27174505 Fax: 27158358,Common Network
Care Hospital,Hyderabad,6-3-248/1/1A Road No 1 Banjara Hills Banjara Hills Hyderabad - 500033 Dist: Hyderabad State: Telangana,500033,Mr. Prakash - Incharge for Insurane,STD(040) Tel: 30418888 Fax: 66625003,Common Network
Care Hospital,Hyderabad,D. No: 1-4-908/7/1 Opp: Raja Deluxe Musheerabad Hyderabad - 500020 Dist: Hyderabad State: Telangana,500020,Dr. B S Sanadha Raj - ,STD(040) Tel: 30219000 30219305 Fax: 30219618 ,Common Network
Care Hospital,Hyderabad,5-4-199 J.N. Road Nampally Hyderabad - 500001 Dist: Hyderabad State: Telangana,500001,- Administrator,STD(040) Tel: 30417777 Fax: 24745110 ,Common Network
Centre For Sight,Hyderabad,Ashoka Capital Building; Road No:2; Banjara Hills; Hyderabad - 500034; Dist: Hyderabad; State: Telangana,500034,Babu Rao Sirigiri,STD (040) Tel: 40045500 40042115 Fax: 40042119,Common Network
Clear Vision Eye Hospital,Hyderabad,3-6-272/B NVK Towers; Opp Telugu Academy Himayath Nagar Hyderabad - 500029 Dist: Hyderabad State: Telangana,500029,Dr. D Naveena - Director,STD(040) Tel: 23225386 Fax: 23221522 ,Common Network
Cygnus Institute Of Gastroenterology,Hyderabad,Plot No:34&35; Sardar Patel Nagar; Nizampet X Road;Hyderabad; Dist:Ranga Reddy; State:Telangana - 500072,500072,Dr. I. Srivenu - Managing Director,STD (040) 40030107 40030108 Fax:40030107,Common Network
Dr P Sivareddy Eye Hospital,Hyderabad,3-5-886; Himayat Nagar; Near Old MLA Quarters; Hyderabad - 500029; Dist: Hyderabad; State: Telangana,500029,H Sudha Reddy,STD (040) Tel: 40171727 Fax: 40171737,Common Network
Dr. Laxmans Childrens Hospital,Hyderabad,Plot No 344; Main Road; Shapoor Nagar; Jeedimetla; Hyderabad; Telangana - 500055,500055,Dr Laxman Garlapati - Chairman,STD : 040-23093903 FAX : 23191199,Common Network
Dr.Akbar Eye Hospital,Hyderabad,12-2-831/87; S.S.Towers Opp Syndicate Bank; Mehdipatnam Hyderabad - 500028 Dist: Hyderabad State: Telangana,500028,Dr. Akbar Altaf - Director,STD(040) Tel: 66362660 Fax: ,Common Network
Dr.Rao's Ent Super Speciality Hospital,Hyderabad,1/2 RT; Behind Durga Temple; Opp.Mosque; Panjagutta Hyderabad - 500082 Dist: Hyderabad State: Telangana,500082,Dr. GVS Rao - Propritor,STD(040) Tel: 23416677 23416699 Fax: 23416677 23419599,Common Network
Eashwar Lakshmi Hospital,Hyderabad,Plot No: 9 Gandhi Nagar Hyderabad - 500080 Dist: Hyderabad State: Telangana,500080,Dr. R Tapadia - Proprietor,STD(040) Tel: 27618442 27618434 Fax: 66630796 ,Common Network
Fernandez Hospital Pvt Ltd,Hyderabad,H No: 4 -1 -1230; Bogulkunta; Hyderabad - 500001; Dist: Hyderabad; State: Telangana,500001,Ms. Madhuri,STD (040) Tel: 40222300 Fax: 24760860,Common Network
Fernandez Hospital,Hyderabad,3-6-282; Opp. Old MLA Qrtrs; Hyderguda; Hyderabad - 500029; Dist: Hyderabad; State: Telangana,500029,Anka babu,STD (040) Tel: 40632300 Fax: 40632309,Common Network
Geeta Multi Speciality Hospital,Hyderabad,1-7-90; Chaltanyapuri; Dilsukh Nagar; Hyderabad; Dist:Ranga Reddy; State:Telangana - 500060,500060,Dr P Somulu - Managing Director,STD (040) 24046122 24046133 Fax:24046122,Common Network
Good Health Hospitals,Hyderabad,#1-66/4/194; Block-B;Kavuri Hills; Durgum Cheruvu Road; Opp:Madhapur Police Station; Madhapur; Hyderabad - 500081; Dist: Hyderabad; State: Telangana,500081,Dr A Raghuram Reddy,STD (040) Tel: 23115588 Fax: 23116688,Common Network
Goodwill Kidney & Surgical Centre,Hyderabad,No 10-5-13/2/A; Opp Khaja Mansion Tank; Raod No 1; Banjara Hills; Hyderabad - 500028; Dist: Hyderabad; State: Telangana,500028,Mrs. Ch Anuradha,STD(040) Tel: 23314561 ;23314961 Fax: 23316956;0,Common Network
GSN Hospital,Hyderabad,43/3 RT; Opp:DCB Bank Nr.Community Hall S R Nagar Hyderabad - 500038 Dist: Hyderabad State: Telangana,500038,Dr. Subba G C Naidu - Managing Director,STD(040) Tel: 23813655 32900333 Fax: 23801021 ,Common Network
Hope Children Hospital,Hyderabad,#: 5-9-24/81 Lake Hill Road Basheerbagh Hyderabad - 500063 Dist: Hyderabad State: Telangana,500063,Dr. P L Ratnam - Managing Director,STD(040) Tel: 23223782 23223792 Fax: 23261098 ,Common Network
Image Hospitals Madhapur,Hyderabad,Near Hi-tech City Madhapur Hyderabad 500081 Dist Hyderabad; State : Telangana,500081,Mr. C V Rao,STD(040) Tel: 60610000 Fax: 23116555,Common Network
Indo US Superspeciality Hospital,Hyderabad,#7-1-57/B&C; Shyam Karan Road;Ameerpet;Hyderabad 500016 Dist Hyderabad Telangana,500016,Dr BNL Bhavana,STD(040) Tel: 23782377 23782380 Fax: 23782376,Common Network
